Test;#Formulas;Sequential;Parallel
7;128;0,0461094;0,000262709
8;256;0,112053;0,000603156
9;512;0,254553;0,00128474
10;1024;0,600227;0,0029944
11;2048;1,40248;0,0178147
12;4096;3,25009;0,13033
13;8192;7,86567;0,685732
14;16384;19,1767;5,57342
15;32768;49,3585;18,7045
