Test;#Formulas;Sequential;Parallel
7;128;0,0429921;0,000262185
8;256;0,103305;0,000310147
9;512;0,240912;0,00157656
10;1024;0,566948;0,00396052
11;2048;1,32381;0,0181869
12;4096;3,13583;0,12895
13;8192;7,68387;0,688792
14;16384;19,0425;5,50469
15;32768;48,3613;18,6198
