Test;#Formulas;Sequential;Parallel
7;128;0,0455004;0,000137101
8;256;0,11407;0,000329163
9;512;0,267551;0,000854422
10;1024;0,629973;0,00286973
11;2048;1,47452;0,011997
12;4096;3,42661;0,0537481
13;8192;7,96277;0,232802
14;16384;18,6511;6,48141
15;32768;47,4944;19,7812
